open,high,low,close,adjClose,volume,Date
0.11,0.11,0.06,0.07,0.07,1800,2020-08-01
0.19,0.24,0.12,0.14,0.14,1231,2020-08-02
0.05,0.07,0.05,0.07,0.07,1468,2020-08-03
0.14,0.23,0.11,0.12,0.12,1495,2020-08-04
0.23,0.31,0.11,0.15,0.15,1744,2020-08-05
0.27,0.33,0.1,0.13,0.13,1617,2020-08-06
0.23,0.32,0.13,0.3,0.3,1225,2020-08-07
0.14,0.18,0.1,0.14,0.14,1018,2020-08-08
0.15,0.17,0.14,0.15,0.15,1876,2020-08-09
0.27,0.34,0.23,0.27,0.27,1916,2020-08-10
0.16,0.22,0.12,0.22,0.22,1545,2020-08-11
0.15,0.17,0.1,0.16,0.16,1732,2020-08-12
0.26,0.31,0.09,0.1,0.1,1713,2020-08-13
0.14,0.16,0.11,0.12,0.12,1405,2020-08-14
0.27,0.31,0.21,0.27,0.27,1050,2020-08-15
0.22,0.25,0.2,0.21,0.21,1472,2020-08-16
0.14,0.23,0.13,0.23,0.23,1521,2020-08-17
0.13,0.17,0.13,0.15,0.15,1701,2020-08-18
0.27,0.3,0.08,0.22,0.22,1701,2020-08-19
0.18,0.27,0.06,0.25,0.25,1982,2020-08-20
0.16,0.22,0.14,0.16,0.16,1959,2020-08-21
0.1,0.16,0.08,0.13,0.13,1615,2020-08-22
0.24,0.26,0.16,0.25,0.25,1272,2020-08-23
0.14,0.22,0.11,0.18,0.18,1696,2020-08-24
0.13,0.14,0.11,0.14,0.14,1061,2020-08-25
0.16,0.21,0.12,0.16,0.16,1584,2020-08-26
0.29,0.34,0.21,0.33,0.33,1802,2020-08-27
0.27,0.31,0.26,0.31,0.31,1143,2020-08-28
0.09,0.15,0.07,0.09,0.09,1397,2020-08-29
0.17,0.23,0.09,0.19,0.19,1959,2020-08-30
