open,high,low,close,adjClose,volume,Date
0.33,0.19,0.11,0.17,0.13,1748,2024-12-27
0.27,0.11,0.19,0.28,0.06,1894,2021-06-23
0.13,0.06,0.11,0.18,0.14,1211,2025-08-02
0.3,0.19,0.18,0.07,0.34,1654,2022-04-28
0.16,0.28,0.17,0.1,0.26,1581,2020-10-30
0.23,0.3,0.1,0.24,0.22,1300,2025-07-13
0.33,0.14,0.28,0.21,0.17,1406,2023-04-05
0.26,0.3,0.11,0.27,0.12,1326,2020-12-31
0.11,0.23,0.1,0.26,0.1,1897,2021-05-14
0.32,0.35,0.28,0.28,0.08,1873,2022-11-30
0.33,0.19,0.09,0.14,0.12,1846,2024-09-19
0.33,0.16,0.17,0.29,0.21,1150,2024-04-19
0.26,0.2,0.13,0.2,0.29,1467,2022-03-14
0.28,0.12,0.3,0.15,0.26,1858,2022-04-16
0.32,0.18,0.26,0.18,0.23,1942,2024-08-25
0.14,0.15,0.12,0.07,0.28,1128,2022-05-19
0.24,0.27,0.21,0.11,0.25,1254,2025-07-02
0.25,0.19,0.17,0.12,0.12,1241,2024-12-15
0.34,0.33,0.21,0.3,0.18,1425,2022-03-18
0.24,0.12,0.1,0.11,0.2,1247,2022-11-09
0.13,0.24,0.06,0.21,0.3,1338,2025-06-06
0.26,0.28,0.12,0.25,0.25,1906,2025-04-20
0.22,0.15,0.18,0.24,0.08,1738,2025-10-07
0.24,0.15,0.31,0.11,0.22,1454,2022-10-10
0.19,0.18,0.21,0.15,0.13,1032,2022-11-05
0.32,0.26,0.31,0.29,0.06,1536,2023-08-17
0.09,0.15,0.32,0.32,0.18,1709,2025-08-25
0.13,0.1,0.25,0.32,0.08,1710,2022-08-17
0.14,0.19,0.06,0.18,0.18,1898,2021-02-14
0.25,0.33,0.11,0.23,0.15,1319,2023-08-06
0.27,0.19,0.33,0.14,0.34,1671,2024-05-26
0.34,0.23,0.07,0.24,0.3,1474,2023-03-30
0.25,0.26,0.28,0.31,0.14,1230,2022-06-24
0.1,0.25,0.12,0.25,0.14,1193,2023-10-01
0.27,0.26,0.09,0.21,0.1,1538,2021-09-24
0.07,0.29,0.24,0.31,0.08,1428,2024-08-22
0.15,0.06,0.18,0.33,0.18,1508,2025-07-19
0.27,0.07,0.21,0.2,0.11,1610,2022-09-07
0.17,0.32,0.31,0.34,0.25,1043,2023-06-28
0.19,0.25,0.19,0.26,0.1,1586,2021-10-19
0.14,0.34,0.11,0.22,0.12,1294,2024-01-29
0.07,0.12,0.28,0.12,0.22,1358,2023-04-30
0.2,0.25,0.27,0.26,0.25,1943,2023-08-13
0.16,0.14,0.06,0.1,0.25,1485,2023-06-25
0.06,0.34,0.33,0.14,0.22,1534,2021-11-22
0.06,0.28,0.13,0.23,0.17,1671,2023-11-03
0.31,0.25,0.19,0.35,0.2,1515,2025-10-05
0.24,0.23,0.15,0.15,0.09,1960,2023-05-01
0.06,0.33,0.21,0.2,0.17,1640,2021-02-15
0.25,0.15,0.14,0.14,0.12,1755,2025-12-31
0.32,0.12,0.32,0.24,0.33,1808,2025-02-27
0.07,0.33,0.09,0.08,0.28,1318,2023-06-10
0.15,0.3,0.31,0.24,0.29,1861,2021-01-06
0.06,0.32,0.32,0.18,0.15,1623,2021-12-25
0.13,0.31,0.1,0.31,0.32,1947,2024-03-08
0.09,0.09,0.24,0.35,0.22,1952,2022-04-30
0.21,0.17,0.06,0.26,0.32,1951,2023-11-15
0.25,0.34,0.23,0.17,0.33,1484,2022-06-08
0.15,0.3,0.34,0.33,0.14,1072,2020-11-30
0.22,0.25,0.13,0.06,0.19,1870,2024-07-30
0.15,0.21,0.23,0.35,0.19,1818,2023-05-15
0.19,0.11,0.27,0.26,0.31,1007,2023-01-09
0.28,0.31,0.05,0.14,0.35,1410,2022-12-07
0.17,0.16,0.09,0.08,0.19,1776,2021-10-21
0.3,0.24,0.12,0.24,0.32,1975,2025-11-25
0.18,0.09,0.32,0.24,0.17,1012,2024-08-13
0.11,0.25,0.25,0.32,0.3,1571,2023-04-06
0.08,0.34,0.33,0.07,0.25,1632,2020-10-12
0.11,0.31,0.16,0.09,0.26,1542,2022-08-28
0.15,0.16,0.18,0.3,0.29,1518,2023-08-31
0.29,0.32,0.22,0.07,0.29,1197,2021-10-09
0.08,0.34,0.11,0.06,0.12,1311,2025-08-21
0.34,0.12,0.15,0.33,0.3,1011,2025-05-03
0.14,0.22,0.08,0.11,0.3,1621,2020-08-21
0.12,0.14,0.35,0.27,0.17,1364,2020-09-08
0.21,0.07,0.25,0.25,0.2,1639,2020-10-11
0.18,0.29,0.34,0.28,0.22,1728,2023-07-29
0.21,0.24,0.1,0.23,0.05,1121,2022-12-17
0.18,0.16,0.05,0.1,0.22,1778,2022-12-30
0.12,0.29,0.15,0.27,0.35,1180,2023-03-18
0.29,0.1,0.16,0.35,0.23,1126,2025-09-10
0.06,0.27,0.32,0.3,0.31,1826,2023-03-20
0.09,0.22,0.27,0.3,0.19,1357,2023-08-14
0.1,0.21,0.2,0.19,0.3,1292,2020-10-23
0.22,0.12,0.06,0.2,0.12,1144,2022-10-19
0.22,0.26,0.3,0.34,0.34,1770,2021-07-20
0.25,0.11,0.14,0.28,0.11,1863,2022-10-27
0.24,0.11,0.34,0.25,0.13,1440,2022-02-09
0.34,0.07,0.3,0.07,0.1,1448,2025-08-27
0.25,0.22,0.08,0.06,0.2,1290,2023-07-01
0.1,0.33,0.13,0.27,0.06,1486,2025-12-03
0.06,0.1,0.19,0.31,0.28,1382,2025-02-17
0.24,0.08,0.28,0.17,0.1,1390,2024-07-06
